INFO:__main__:Loading input file: data/processed/texas_hvac_for_email_scraping.csv
INFO:__main__:Starting parallel processing with 30 workers...

================================================================================
UNIVERSAL WEBSITE SCRAPER
================================================================================
Input file:        data/processed/texas_hvac_for_email_scraping.csv
Output file:       data/processed/texas_hvac_with_emails.csv
Total URLs:        321
Mode:              custom
Workers:           30

Configuration:
  Check static:    False
  Extract emails:  True
  Extract phones:  False
  Scrape mode:     smart
  AI analysis:     False

Estimated time:    2.2 min (133.8 sec)
================================================================================

[54/321] 16.8% | ETA: 3.1min | Speed: 1.4 items/sec | https://www.west-o-plex-ac.com/?utm_campaign=gmb   - success
[55/321] 17.1% | ETA: 3.2min | Speed: 1.4 items/sec | https://www.cuttingedgeair.com/?utm_source=gmb&utm - connection_error
[56/321] 17.4% | ETA: 3.2min | Speed: 1.4 items/sec | https://hawkphac.com/                              - success
[57/321] 17.8% | ETA: 3.5min | Speed: 1.3 items/sec | http://www.acgenius.com/                           - success
[58/321] 18.1% | ETA: 3.5min | Speed: 1.2 items/sec | https://strausshvac.com/                           - success
[59/321] 18.4% | ETA: 3.4min | Speed: 1.3 items/sec | https://ravenheatingandcooling.com/                - success
[60/321] 18.7% | ETA: 3.4min | Speed: 1.3 items/sec | https://www.totalairep.com/                        - success
[61/321] 19.0% | ETA: 3.4min | Speed: 1.3 items/sec | https://dynamicheatingcooling.net/                 - success
[62/321] 19.3% | ETA: 3.4min | Speed: 1.3 items/sec | https://www.deltatheatingandcooling.com/           - success
[63/321] 19.6% | ETA: 3.3min | Speed: 1.3 items/sec | https://honestabeservices.com/                     - success
[64/321] 19.9% | ETA: 3.3min | Speed: 1.3 items/sec | https://www.anchorairelp.com/                      - success
[65/321] 20.2% | ETA: 3.4min | Speed: 1.3 items/sec | https://www.precisionaircc.com/                    - success
[66/321] 20.6% | ETA: 3.4min | Speed: 1.3 items/sec | https://swmechanicalep.com/                        - success
[67/321] 20.9% | ETA: 3.3min | Speed: 1.3 items/sec | https://www.ashfordmechanical.com/?utm_source=goog - success
[68/321] 21.2% | ETA: 3.3min | Speed: 1.3 items/sec | https://blueskyheatingandair.net/                  - success
[69/321] 21.5% | ETA: 3.2min | Speed: 1.3 items/sec | https://www.powerprotx.com/                        - success
[70/321] 21.8% | ETA: 3.2min | Speed: 1.3 items/sec | https://newrisehvac.com/                           - success
[71/321] 22.1% | ETA: 3.1min | Speed: 1.3 items/sec | http://arheating915.com/                           - success
[72/321] 22.4% | ETA: 3.2min | Speed: 1.3 items/sec | https://onehouraircentraltexas.com/                - success
[73/321] 22.7% | ETA: 3.1min | Speed: 1.3 items/sec | https://www.nsgair.com/?utm_source=google&utm_medi - success
[74/321] 23.1% | ETA: 3.1min | Speed: 1.3 items/sec | https://texaschoicehvac.com/                       - success
[75/321] 23.4% | ETA: 3.1min | Speed: 1.3 items/sec | https://www.diazservicesep.com/                    - success
[76/321] 23.7% | ETA: 3.1min | Speed: 1.3 items/sec | https://indoorairspecialties.com/                  - success
[77/321] 24.0% | ETA: 3.1min | Speed: 1.3 items/sec | https://www.texasac361.com/                        - success
[78/321] 24.3% | ETA: 3.1min | Speed: 1.3 items/sec | https://chillprosolutions.com/                     - success
[79/321] 24.6% | ETA: 3.0min | Speed: 1.3 items/sec | https://www.tx1st.com/                             - http_error_404
[80/321] 24.9% | ETA: 3.1min | Speed: 1.3 items/sec | http://airsolutionscc.com/                         - success
[81/321] 25.2% | ETA: 3.0min | Speed: 1.3 items/sec | http://www.epwesternelectric.com/                  - success
[82/321] 25.5% | ETA: 3.0min | Speed: 1.3 items/sec | https://birdwellacandheating.com/?utm_source=googl - success
[83/321] 25.9% | ETA: 3.0min | Speed: 1.3 items/sec | https://www.coolelpaso.com/                        - success
[84/321] 26.2% | ETA: 2.9min | Speed: 1.4 items/sec | https://ramcomechanical.com/                       - success
[85/321] 26.5% | ETA: 2.9min | Speed: 1.4 items/sec | https://www.alpha-aircompany.com/                  - success
[86/321] 26.8% | ETA: 2.9min | Speed: 1.4 items/sec | http://www.laraac.net/                             - success
[87/321] 27.1% | ETA: 2.9min | Speed: 1.4 items/sec | https://www.ignitifyep.com/                        - success
[88/321] 27.4% | ETA: 2.8min | Speed: 1.4 items/sec | https://comfortmasters.net/                        - http_error_202
[89/321] 27.7% | ETA: 2.8min | Speed: 1.4 items/sec | https://www.superioracnheat.com/                   - success
[90/321] 28.0% | ETA: 2.8min | Speed: 1.4 items/sec | https://www.dt-ac.com/?utm_campaign=gmb            - success
[91/321] 28.3% | ETA: 2.8min | Speed: 1.4 items/sec | https://actionairlubbock.com/                      - http_error_403
[92/321] 28.7% | ETA: 2.8min | Speed: 1.4 items/sec | https://amairservices.com/                         - success
[93/321] 29.0% | ETA: 2.8min | Speed: 1.4 items/sec | http://gcrefrigeration.com/                        - success
[94/321] 29.3% | ETA: 2.7min | Speed: 1.4 items/sec | https://www.norwayairconditioning.com/             - success
[95/321] 29.6% | ETA: 2.7min | Speed: 1.4 items/sec | https://www.aireserv.com/lubbock/?cid=LSTL_ASV-US0 - http_error_403
[96/321] 29.9% | ETA: 2.7min | Speed: 1.4 items/sec | https://expressaircooling.com/                     - success
[97/321] 30.2% | ETA: 2.6min | Speed: 1.4 items/sec | https://absoluterefrigerationhvac.com/             - http_error_202
[98/321] 30.5% | ETA: 2.6min | Speed: 1.4 items/sec | https://www.acclaimac.com/                         - success
[99/321] 30.8% | ETA: 2.6min | Speed: 1.4 items/sec | https://www.totalassuranceac.com/?utm_source=googl - success
[100/321] 31.2% | ETA: 2.6min | Speed: 1.4 items/sec | https://synergyhomeandcommercial.com/air-condition - success
[101/321] 31.5% | ETA: 2.6min | Speed: 1.4 items/sec | http://longsheatingandairconditioning.com/         - success
[102/321] 31.8% | ETA: 2.6min | Speed: 1.4 items/sec | https://dreamairandheat.com/                       - success
[103/321] 32.1% | ETA: 2.5min | Speed: 1.4 items/sec | http://www.airbosshvacr.com/                       - success
[104/321] 32.4% | ETA: 2.5min | Speed: 1.4 items/sec | https://toocoolair.com/hvac-contractor-grapevine-t - success
[105/321] 32.7% | ETA: 2.5min | Speed: 1.4 items/sec | https://stccaire.com/                              - success
[106/321] 33.0% | ETA: 2.5min | Speed: 1.4 items/sec | https://www.dallasheatingac.com/?utm_source=GMB&ut - success
[107/321] 33.3% | ETA: 2.4min | Speed: 1.5 items/sec | http://www.tigerairtx.com/?utm_source=google&utm_m - success
[108/321] 33.6% | ETA: 2.5min | Speed: 1.4 items/sec | https://lovejoyhvac.com/?utm_source=GBP&utm_medium - success
[109/321] 34.0% | ETA: 2.5min | Speed: 1.4 items/sec | https://www.swiftaircc.com/                        - success
[110/321] 34.3% | ETA: 2.5min | Speed: 1.4 items/sec | https://www.callarthurair.com/?utm_source=google&u - success
[111/321] 34.6% | ETA: 2.4min | Speed: 1.4 items/sec | https://sherrellair.com/                           - success
[112/321] 34.9% | ETA: 2.4min | Speed: 1.4 items/sec | https://dallasairpros.com/                         - connection_error
[113/321] 35.2% | ETA: 2.4min | Speed: 1.4 items/sec | https://duncanhtg-ac.com/                          - connection_error
[114/321] 35.5% | ETA: 2.4min | Speed: 1.4 items/sec | http://callthebear.com/                            - success
[115/321] 35.8% | ETA: 2.4min | Speed: 1.4 items/sec | https://american-heritage-air.com/?utm_source=GBP& - success
[116/321] 36.1% | ETA: 2.4min | Speed: 1.4 items/sec | https://nicksair.com/?utm_source=GBP&utm_medium=or - success
[117/321] 36.4% | ETA: 2.4min | Speed: 1.4 items/sec | https://www.polarbearac.com/                       - success
[118/321] 36.8% | ETA: 2.4min | Speed: 1.4 items/sec | http://becoolairconditioning.com/                  - success
[119/321] 37.1% | ETA: 2.4min | Speed: 1.4 items/sec | https://airservicenowdfw.com/                      - success
[120/321] 37.4% | ETA: 2.4min | Speed: 1.4 items/sec | https://btacinc.com/?utm_campaign=gmb              - success
[121/321] 37.7% | ETA: 2.4min | Speed: 1.4 items/sec | http://devards.com/                                - success
[122/321] 38.0% | ETA: 2.4min | Speed: 1.4 items/sec | https://1stclassairservice.com/?utm_campaign=gmb&u - success
[123/321] 38.3% | ETA: 2.4min | Speed: 1.4 items/sec | https://www.avalosac.com/                          - http_error_202
[124/321] 38.6% | ETA: 2.3min | Speed: 1.4 items/sec | https://ehshvac.com/                               - success
[125/321] 38.9% | ETA: 2.3min | Speed: 1.4 items/sec | http://www.egsair.com/                             - success
[126/321] 39.3% | ETA: 2.3min | Speed: 1.4 items/sec | https://snowbearair.com/locations/tx/snow-bear-hea - success
[127/321] 39.6% | ETA: 2.3min | Speed: 1.4 items/sec | https://www.choiceaircare.com/?utm_source=local&ut - success
[128/321] 39.9% | ETA: 2.3min | Speed: 1.4 items/sec | http://philkerrsplumbing.com/                      - success
[129/321] 40.2% | ETA: 2.3min | Speed: 1.4 items/sec | http://crowsheatandair.com/                        - success
[130/321] 40.5% | ETA: 2.2min | Speed: 1.4 items/sec | https://www.dt-ac.com/service/hvac-contractor-alle - success
[131/321] 40.8% | ETA: 2.2min | Speed: 1.4 items/sec | https://www.onehourheatandair.com/aubrey-celina/   - success
[132/321] 41.1% | ETA: 2.2min | Speed: 1.4 items/sec | https://www.fersahvac.com/                         - success
[133/321] 41.4% | ETA: 2.2min | Speed: 1.4 items/sec | https://www.airviewac.com/ac-repair-princeton-tx/  - success
[134/321] 41.7% | ETA: 2.2min | Speed: 1.4 items/sec | https://leakys.com/?utm_source=gmb&utm_medium=orga - success
[135/321] 42.1% | ETA: 2.1min | Speed: 1.4 items/sec | http://callairgenie.com/                           - success
[136/321] 42.4% | ETA: 2.1min | Speed: 1.4 items/sec | http://exodusmechanical.com/                       - success
[137/321] 42.7% | ETA: 2.1min | Speed: 1.5 items/sec | https://www.burkettbros.com/                       - success
[138/321] 43.0% | ETA: 2.1min | Speed: 1.5 items/sec | https://www.aireserv.com/pasadena/?cid=LSTL_ASV-US - http_error_403
[139/321] 43.3% | ETA: 2.1min | Speed: 1.5 items/sec | http://www.aircontx.com/                           - success
[140/321] 43.6% | ETA: 2.1min | Speed: 1.5 items/sec | https://www.legendairtx.com/?utm_source=google&utm - success
[141/321] 43.9% | ETA: 2.1min | Speed: 1.5 items/sec | https://dial1plumbing.com/grand-prairie-air-condit - success
[142/321] 44.2% | ETA: 2.0min | Speed: 1.5 items/sec | https://hallheatingandair.net/                     - success
[143/321] 44.5% | ETA: 2.0min | Speed: 1.5 items/sec | https://dmsairtx.com/                              - success
[144/321] 44.9% | ETA: 2.0min | Speed: 1.5 items/sec | https://matthewshvac.net/?utm_source=organic&utm_m - success
[145/321] 45.2% | ETA: 2.0min | Speed: 1.5 items/sec | https://www.lavenderac.com/?utm_source=google&utm_ - http_error_404
[146/321] 45.5% | ETA: 2.0min | Speed: 1.5 items/sec | https://myspartanservice.com/                      - success
[147/321] 45.8% | ETA: 2.0min | Speed: 1.5 items/sec | https://therightchoicetexas.com/service-areas/ac-r - success
[148/321] 46.1% | ETA: 2.0min | Speed: 1.5 items/sec | https://sites.google.com/view/jctelectric/home?aut - success
[149/321] 46.4% | ETA: 2.0min | Speed: 1.5 items/sec | https://metrocrestac.com/                          - success
[150/321] 46.7% | ETA: 1.9min | Speed: 1.5 items/sec | https://www.txlonestaracandheating.com/            - success
[151/321] 47.0% | ETA: 1.9min | Speed: 1.5 items/sec | http://www.all-starheatair.com/                    - success
[152/321] 47.4% | ETA: 1.9min | Speed: 1.5 items/sec | https://www.caprockservices.net/                   - success
[153/321] 47.7% | ETA: 1.9min | Speed: 1.5 items/sec | http://www.southwesthvac.biz/                      - success
[154/321] 48.0% | ETA: 1.9min | Speed: 1.5 items/sec | http://www.temperatureprodallas.com/?utm_source=go - success
[155/321] 48.3% | ETA: 1.9min | Speed: 1.5 items/sec | http://panhandleproair.com/                        - success
[156/321] 48.6% | ETA: 1.9min | Speed: 1.5 items/sec | https://hightech-hvac.com/                         - success
[157/321] 48.9% | ETA: 1.8min | Speed: 1.5 items/sec | http://hardwickheatingair.com/                     - success
[158/321] 49.2% | ETA: 1.8min | Speed: 1.5 items/sec | https://valhvac.com/                               - success
[159/321] 49.5% | ETA: 1.8min | Speed: 1.5 items/sec | http://bralleyworks.com/                           - success
[160/321] 49.8% | ETA: 1.8min | Speed: 1.5 items/sec | https://www.suttonheatingandair.com/               - success
[161/321] 50.2% | ETA: 1.8min | Speed: 1.5 items/sec | https://www.aireserv.com/killeen/?cid=LSTL_ASV-US0 - http_error_403
[162/321] 50.5% | ETA: 1.8min | Speed: 1.5 items/sec | https://www.preciseairsystems.com/?utm_source=goog - success
[163/321] 50.8% | ETA: 1.7min | Speed: 1.5 items/sec | http://chilloutheatair.com/                        - success
[164/321] 51.1% | ETA: 1.7min | Speed: 1.5 items/sec | https://armechanical.com/                          - success
[165/321] 51.4% | ETA: 1.7min | Speed: 1.5 items/sec | https://theworksrgv.com/                           - not_html
[166/321] 51.7% | ETA: 1.7min | Speed: 1.5 items/sec | http://www.acheatservices.com/                     - success
[167/321] 52.0% | ETA: 1.7min | Speed: 1.5 items/sec | http://www.texasaircompany.com/                    - success
[168/321] 52.3% | ETA: 1.7min | Speed: 1.5 items/sec | https://www.alphaac.net/                           - success
[169/321] 52.6% | ETA: 1.7min | Speed: 1.5 items/sec | https://nexgenairandplumbing.com/locations/arcadia - success
[170/321] 53.0% | ETA: 1.7min | Speed: 1.5 items/sec | https://temperatureprodallas.com/                  - success
[171/321] 53.3% | ETA: 1.7min | Speed: 1.5 items/sec | http://mr-heatandcooling.com/                      - success
[172/321] 53.6% | ETA: 1.6min | Speed: 1.5 items/sec | https://www.aireserv.com/central-texas/?cid=LSTL_A - http_error_403
[173/321] 53.9% | ETA: 1.6min | Speed: 1.5 items/sec | https://www.lsairllc.com/                          - success
[174/321] 54.2% | ETA: 1.6min | Speed: 1.5 items/sec | https://airconsolutions.pro/                       - success
[175/321] 54.5% | ETA: 1.6min | Speed: 1.5 items/sec | http://www.acamigo.com/                            - success
[176/321] 54.8% | ETA: 1.6min | Speed: 1.5 items/sec | https://mybobjays.com/                             - success
[177/321] 55.1% | ETA: 1.6min | Speed: 1.5 items/sec | http://rabroker.com/                               - http_error_202
[178/321] 55.5% | ETA: 1.5min | Speed: 1.5 items/sec | https://3cmechanicaltechnologies.com/              - http_error_202
[179/321] 55.8% | ETA: 1.6min | Speed: 1.5 items/sec | https://deaneelectric.com/                         - success
[180/321] 56.1% | ETA: 1.5min | Speed: 1.5 items/sec | https://www.trutemphvac.com/                       - success
[181/321] 56.4% | ETA: 1.5min | Speed: 1.5 items/sec | https://www.jcair-rgv.com/                         - success
[182/321] 56.7% | ETA: 1.5min | Speed: 1.5 items/sec | https://www.yourcomforttech.com/                   - success
[183/321] 57.0% | ETA: 1.5min | Speed: 1.5 items/sec | http://fscmechanical.com/                          - success
[184/321] 57.3% | ETA: 1.5min | Speed: 1.5 items/sec | http://www.hessair.com/                            - success
[185/321] 57.6% | ETA: 1.5min | Speed: 1.5 items/sec | https://www.oakpointhvac.com/                      - timeout
[186/321] 57.9% | ETA: 1.5min | Speed: 1.5 items/sec | https://www.globalacandheatingllc.com/?utm_source= - success
[187/321] 58.3% | ETA: 1.5min | Speed: 1.5 items/sec | https://infinityactx.com/                          - success
[188/321] 58.6% | ETA: 1.5min | Speed: 1.5 items/sec | https://thermaconservice.com/?utm_source=GBP&utm_m - http_error_202
[189/321] 58.9% | ETA: 1.4min | Speed: 1.5 items/sec | https://americancoolandheat.com/                   - success
[190/321] 59.2% | ETA: 1.4min | Speed: 1.5 items/sec | http://www.killeenheatingandair.com/               - success
[191/321] 59.5% | ETA: 1.4min | Speed: 1.5 items/sec | http://freedom-ac.com/                             - success
[192/321] 59.8% | ETA: 1.4min | Speed: 1.5 items/sec | http://www.artiesheatingandair.com/                - success
[193/321] 60.1% | ETA: 1.4min | Speed: 1.6 items/sec | http://www.airtothemax.com/                        - success
[194/321] 60.4% | ETA: 1.4min | Speed: 1.5 items/sec | https://www.zipairwaco.com/                        - success
[195/321] 60.7% | ETA: 1.4min | Speed: 1.5 items/sec | https://www.409-group.com/                         - http_error_202
[196/321] 61.1% | ETA: 1.4min | Speed: 1.5 items/sec | https://airbenderheatingandcooling.com/            - success
[197/321] 61.4% | ETA: 1.3min | Speed: 1.5 items/sec | http://www.mikestaas.com/                          - success
[198/321] 61.7% | ETA: 1.3min | Speed: 1.5 items/sec | https://cws-services.com/                          - success
[199/321] 62.0% | ETA: 1.3min | Speed: 1.5 items/sec | https://www.facebook.com/rdart123?mibextid=LQQJ4d  - http_error_400
[200/321] 62.3% | ETA: 1.3min | Speed: 1.5 items/sec | https://ctrairandheat.com/?utm_source=GMB&utm_medi - success
[201/321] 62.6% | ETA: 1.3min | Speed: 1.5 items/sec | http://ellisairsystems.com/                        - success
[202/321] 62.9% | ETA: 1.3min | Speed: 1.6 items/sec | http://chill-air.org/                              - success
[203/321] 63.2% | ETA: 1.3min | Speed: 1.5 items/sec | https://qualityaircare.net/                        - success
[204/321] 63.6% | ETA: 1.3min | Speed: 1.5 items/sec | https://www.tradesmanservice.com/?utm_source=googl - success
[205/321] 63.9% | ETA: 1.2min | Speed: 1.6 items/sec | https://www.polanskyheatingandair.com/             - success
