INFO:__main__:Loading input file: data/processed/test_input_281_sites.csv
INFO:__main__:Starting parallel processing with 25 workers...

================================================================================
UNIVERSAL WEBSITE SCRAPER
================================================================================
Input file:        data/processed/test_input_281_sites.csv
Output file:       data/processed/test_results_quick.csv
Total URLs:        281
Mode:              quick
Workers:           25

Configuration:
  Check static:    True
  Extract emails:  False
  Extract phones:  False
  Scrape mode:     single
  AI analysis:     False

Estimated time:    0.2 min (14.1 sec)
================================================================================

[52/281] 18.5% | ETA: 1.1min | Speed: 3.5 items/sec | https://www.asapairhoustonac.com/                  - success
[53/281] 18.9% | ETA: 1.1min | Speed: 3.5 items/sec | https://www.air75hvac.com/                         - http_error_202
[54/281] 19.2% | ETA: 1.1min | Speed: 3.6 items/sec | http://www.theclimatetech.com/                     - success
[55/281] 19.6% | ETA: 1.1min | Speed: 3.5 items/sec | https://www.callmedley.com/?utm_source=organic&utm - success
[56/281] 19.9% | ETA: 1.1min | Speed: 3.6 items/sec | http://www.ethanclark.com/                         - success
[57/281] 20.3% | ETA: 1.0min | Speed: 3.6 items/sec | https://75degreeac.com/                            - success
[58/281] 20.6% | ETA: 1.1min | Speed: 3.4 items/sec | https://www.callberrybest.com/                     - http_error_500
[59/281] 21.0% | ETA: 1.1min | Speed: 3.5 items/sec | https://www.coolithouston.com/                     - success
[60/281] 21.4% | ETA: 1.1min | Speed: 3.5 items/sec | https://www.hagenrg.com/                           - success
[61/281] 21.7% | ETA: 1.1min | Speed: 3.4 items/sec | https://conoverair.com/?utm_source=GBP&utm_medium= - success
[62/281] 22.1% | ETA: 1.1min | Speed: 3.3 items/sec | https://chimneyrockac.com/?utm_source=google&utm_m - success
[63/281] 22.4% | ETA: 1.1min | Speed: 3.3 items/sec | http://airsolservices.com/                         - success
[64/281] 22.8% | ETA: 1.1min | Speed: 3.3 items/sec | https://www.dallashvacparts.com/                   - dynamic
[65/281] 23.1% | ETA: 1.1min | Speed: 3.3 items/sec | http://baker-jones.com/                            - success
[66/281] 23.5% | ETA: 1.1min | Speed: 3.4 items/sec | https://goldenrulecomfort.com/                     - success
